,,      Year to Date*,,,     2 Year   
 ,,2024,2023,% Chg,% Chg
Murder,,28,31,-9.7,40.0
Rape,,77,69,11.6,-19.8
Robbery,,"1,066",954,11.7,2.6
Fel. Assault,,"1,670","1,531",9.1,5.6
Burglary,,697,807,-13.6,-26.0
Gr. Larceny,,"3,215","3,160",1.7,-1.0
G.L.A. (Grand Laceny Auto),,480,703,-31.7,-26.7
TOTAL,,"7,233","7,255",-0.30,-4.59
Transit,,129,155,-16.8,-19.9
Housing,,687,632,8.7,4.7
Petit Larceny,,"6,518","7,237",-9.9,-19.3
Retail Theft,,"3,447","4,114",-16.2,-32.6
Misd. Assault,,"2,645","2,353",12.4,9.9
UCR Rape*,,121,136,-11.0,-20.4
Other Sex Crimes,,296,304,-2.6,-17.8
Shooting Vic.,,68,79,-13.9,-35.8
Shooting Inc.,,55,71,-22.5,-38.2
Hate Crimes,,57,41,39.0,-5.0
,,,,,
,,,,,
,,,,,
