Highest Offense Description,Latitude,Longitude,year
CRIMINAL MISCHIEF,,,2021
AUTO THEFT,30.43514528,-97.64121824,2021
THEFT,30.27352134,-97.70057019,2021
FAMILY DISTURBANCE,30.40485376,-97.71371186,2021
MAIL THEFT,30.25685745,-97.88679371,2021
FAMILY DISTURBANCE,30.49792286,-97.7673527,2021
FAMILY DISTURBANCE,30.38938862,-97.7662405,2021
DISTURBANCE - OTHER,30.3257346,-97.68909195,2021
ASSAULT BY CONTACT,30.2253837,-97.75214159,2021
CRIMINAL MISCHIEF,30.22428901,-97.68704573,2021
DWI,30.42429118,-97.70996864,2021
BURGLARY OF VEH-NO SUSPECT/FU,30.2526407,-97.73235099,2021
ASSAULT WITH INJURY,30.22664294,-97.72105703,2021
THEFT,30.25788603,-97.80700704,2021
BURGLARY OF VEHICLE,30.24995208,-97.74994523,2021
HARASSMENT,30.30541094,-97.75710768,2021
ASSAULT WITH INJURY,30.22588088,-97.76908827,2021
ASSAULT WITH INJURY,30.27650449,-97.6997188,2021
THEFT OF BICYCLE,30.35556636,-97.74523589,2021
THEFT,30.21526412,-97.70301942,2021
FAMILY DISTURBANCE,30.1386212,-97.77344066,2021
FAMILY DISTURBANCE,30.19301239,-97.77887935,2021
FALSE ALARM OR REPORT,30.2303859,-97.70504641,2021
AUTO THEFT,30.22221713,-97.76097983,2021
BURGLARY NON RESIDENCE,30.27349383,-97.69709167,2021
BURGLARY OF VEHICLE,30.26851285,-97.7504308,2021
FAMILY DISTURBANCE,30.38273885,-97.65830837,2021
CRASH/FAIL STOP AND RENDER AID,30.33425255,-97.74108332,2021
THEFT OF SERVICE,30.15417637,-97.85530251,2021
FAMILY DISTURBANCE,30.36760561,-97.72248502,2021
IDENTITY THEFT,30.18104595,-97.83772812,2021
BURGLARY OF RESIDENCE,30.42378208,-97.74054159,2021
FAMILY DISTURBANCE,30.48940343,-97.77319761,2021
BURGLARY OF VEHICLE,30.32104847,-97.77354003,2021
MAIL THEFT,30.33678922,-97.70545473,2021
BURGLARY OF VEHICLE,30.43617647,-97.77666514,2021
FAMILY DISTURBANCE,30.20182445,-97.79631441,2021
HARASSMENT,30.22160085,-97.73183138,2021
FAMILY DISTURBANCE,30.25755218,-97.69252434,2021
BURGLARY OF VEH-NO SUSPECT/FU,30.24652268,-97.80509955,2021
CRIMINAL TRESPASS/TRANSIENT,30.26884996,-97.69783319,2021
FRAUD - OTHER,30.26254646,-97.72553832,2021
BURGLARY OF VEH-NO SUSPECT/FU,30.24418174,-97.81009928,2021
CRIMINAL MISCHIEF,30.37543902,-97.69120565,2021
THEFT,30.25870601,-97.70463032,2021
THEFT OF BICYCLE,30.17779841,-97.84368716,2021
BURGLARY NON RESIDENCE,30.29948141,-97.70804903,2021
FAMILY DISTURBANCE,30.36239452,-97.6945729,2021
POSS CONTROLLED SUB/NARCOTIC,30.38832035,-97.68406668,2021
THEFT,30.33798727,-97.69441925,2021
FAMILY DISTURBANCE,30.42068724,-97.77021801,2021
IDENTITY THEFT,30.34664576,-97.69657342,2021
THEFT,30.18588657,-97.84084168,2021
FAMILY DISTURBANCE,30.27401815,-97.7270251,2021
COUNTERFEITING,30.19434659,-97.77889473,2021
AIRPORT PLACES WEAPON PROHIBIT,30.20200809,-97.6668813,2021
BURGLARY OF VEH-NO SUSPECT/FU,30.26172952,-97.77422879,2021
THEFT CATALYTIC CONVERTER,30.43204031,-97.77613056,2021
ASSAULT BY CONTACT,30.25908699,-97.7389732,2021
IDENTITY THEFT,30.41952827,-97.7026151,2021
CRIMINAL MISCHIEF,30.3447253,-97.70042168,2021
CRIMINAL MISCHIEF,30.28463959,-97.71607435,2021
FRAUD - OTHER,30.3138638,-97.70808569,2021
CRASH/FAIL STOP AND RENDER AID,30.18287804,-97.68763217,2021
BURGLARY OF RESIDENCE,30.28039723,-97.70164073,2021
THEFT,30.2589174,-97.73901894,2021
BURGLARY OF VEHICLE,30.35124739,-97.79625327,2021
FAMILY DISTURBANCE,30.28723584,-97.70250327,2021
THEFT,30.36650367,-97.78129372,2021
CRIMINAL MISCHIEF,30.33174263,-97.68835022,2021
BURGLARY OF VEHICLE,30.20067456,-97.77253731,2021
ASSAULT WITH INJURY,30.38265639,-97.68668719,2021
DOC DISCHARGE GUN - PUB ROAD,30.25233916,-97.72712239,2021
BURGLARY OF VEHICLE,30.19818661,-97.76915525,2021
