Highest Offense Description,Latitude,Longitude,year
DWI,30.21968597,-97.83611225,2023
ASSAULT BY CONTACT,30.31941418,-97.69149066,2023
RAPE OF A CHILD,,,2023
FAMILY DISTURBANCE,30.15081733,-97.74085384,2023
BURGLARY NON RESIDENCE,30.36265682,-97.66960785,2023
BURGLARY OF VEHICLE,30.18153143,-97.84472427,2023
AUTO THEFT,30.21484289,-97.70165966,2023
DISTURBANCE - OTHER,,,2023
AUTO THEFT,30.28150441,-97.72431314,2023
AGG ROBBERY/DEADLY WEAPON,30.37545605,-97.67618534,2023
AGG ROBBERY/DEADLY WEAPON,30.37010899,-97.69335315,2023
CRIMINAL MISCHIEF,30.35200581,-97.60116293,2023
CRIMINAL MISCHIEF,30.22845755,-97.88286692,2023
RAPE,,,2023
MAIL THEFT,30.22798449,-97.78837441,2023
THEFT,30.18669213,-97.75814558,2023
VIOL OF PROTECTIVE ORDER,30.45158022,-97.77413585,2023
CRASH/FAIL STOP AND RENDER AID,30.16291061,-97.79312325,2023
CRIMINAL MISCHIEF,30.33833356,-97.6770905,2023
MAIL THEFT,30.39193391,-97.70557614,2023
THEFT,30.40504072,-97.71991324,2023
BURGLARY OF RESIDENCE,30.23861098,-97.7661497,2023
CRIMINAL MISCHIEF,30.30246229,-97.746305,2023
AUTO THEFT,30.3433658,-97.69997996,2023
THEFT FROM PERSON,30.37685798,-97.67336157,2023
THEFT BY SHOPLIFTING,30.19061184,-97.7722943,2023
AUTO THEFT,30.35615364,-97.73090117,2023
VIOL OF PROTECTIVE ORDER,30.23307103,-97.7360961,2023
BURGLARY OF VEH-NO SUSPECT/FU,30.3698269,-97.72000474,2023
AGG ASSAULT,30.32151599,-97.69833171,2023
AUTO THEFT,30.32904857,-97.74610575,2023
FAMILY DISTURBANCE,30.32029813,-97.69541662,2023
THEFT FROM PERSON,30.26587973,-97.73500753,2023
BURGLARY OF RESIDENCE,30.28586629,-97.7441036,2023
DATING DISTURBANCE,30.33140685,-97.68487489,2023
MAIL THEFT,30.23041409,-97.82748604,2023
CRIMINAL MISCHIEF,30.41576091,-97.74552693,2023
ASSAULT BY CONTACT,30.20749836,-97.83422027,2023
AUTO THEFT,30.45798345,-97.79062999,2023
THEFT OF BICYCLE,30.30291657,-97.7370786,2023
DEBIT CARD ABUSE,30.22754088,-97.82752892,2023
DOC DISPLAY GUN/DEADLY PUB PLC,30.22421639,-97.76741274,2023
BURGLARY OF RESIDENCE,30.28549001,-97.74399327,2023
CRIMINAL MISCHIEF,30.23457272,-97.8509433,2023
AGG ASSAULT,30.41003921,-97.70824313,2023
ASSAULT BY THREAT,30.32915471,-97.70400447,2023
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.43679083,-97.77395725,2023
BURGLARY OF VEHICLE,30.18756189,-97.74821637,2023
THEFT,30.25993651,-97.79858929,2023
DWI - DRUG RECOGNITION EXPERT,30.21349688,-97.75255423,2023
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.43680775,-97.7731506,2023
CRED CARD ABUSE - OTHER,30.33176657,-97.58282277,2023
DEBIT CARD ABUSE,30.25805241,-97.77354372,2023
ASSAULT WITH INJURY,30.35460161,-97.68584592,2023
CRIMINAL MISCHIEF,30.37001176,-97.69036788,2023
AUTO THEFT,30.29989888,-97.69837041,2023
MAIL THEFT,30.25024463,-97.89596426,2023
BURGLARY OF VEHICLE,30.21070869,-97.8214677,2023
