Highest Offense Description,Latitude,Longitude,year
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,30.25306959,-97.87282402,2022
AUTO THEFT,30.39106161,-97.65409265,2022
FAMILY DISTURBANCE,30.31860654,-97.68793677,2022
DWI  .15 BAC OR ABOVE,30.36387988,-97.71929367,2022
AUTO THEFT,30.39246849,-97.65547809,2022
DISTURBANCE - OTHER,30.31899194,-97.68901994,2022
CRASH/FAIL STOP AND RENDER AID,30.36040289,-97.6932192,2022
BURGLARY OF VEHICLE,30.1537423,-97.84667715,2022
THEFT,30.4251922,-97.84512316,2022
POSSESSION OF MARIJUANA,30.26727938,-97.73879424,2022
BURGLARY OF RESIDENCE,30.1711047,-97.62364618,2022
AUTO THEFT,30.38643586,-97.69578989,2022
BURGLARY NON RESIDENCE,30.36679701,-97.69560063,2022
AGG ASSAULT WITH MOTOR VEH,30.35570659,-97.71555725,2022
THEFT OF LICENSE PLATE,30.33432005,-97.72150557,2022
HARASSMENT,30.14579898,-97.79066159,2022
AGG ASSAULT,30.29178072,-97.72098647,2022
ASSAULT WITH INJURY,30.32791441,-97.73246184,2022
THEFT BY SHOPLIFTING,30.23431486,-97.81882978,2022
THEFT BY SHOPLIFTING,30.40526665,-97.67189551,2022
THEFT,30.36854931,-97.69307549,2022
THEFT CATALYTIC CONVERTER,30.42746248,-97.84263668,2022
GRAFFITI,30.26336306,-97.73649469,2022
MAIL THEFT,30.29948141,-97.70804903,2022
BURGLARY OF RESIDENCE,30.33101147,-97.68424211,2022
AUTO THEFT,30.30416717,-97.70156941,2022
AUTO THEFT,30.18761187,-97.76545956,2022
BURGLARY NON RESIDENCE,30.22967724,-97.73014105,2022
AGG ROBBERY/DEADLY WEAPON,30.30971589,-97.70887373,2022
THEFT BY SHOPLIFTING,30.33401418,-97.72093678,2022
CRIMINAL MISCHIEF,30.35790594,-97.68749955,2022
AUTO THEFT,30.18669213,-97.75814558,2022
IDENTITY THEFT,30.25122258,-97.88724693,2022
BURGLARY NON RESIDENCE,30.26811348,-97.72690567,2022
BURGLARY NON RESIDENCE,30.27904519,-97.67491289,2022
BURGLARY OF VEHICLE,30.2163855,-97.69335847,2022
CRIMINAL MISCHIEF,30.40249501,-97.72050896,2022
HARASSMENT,30.29013023,-97.77207182,2022
ASSAULT WITH INJURY,30.21143155,-97.6638788,2022
THEFT BY SHOPLIFTING,30.40526665,-97.67189551,2022
CRED CARD ABUSE - OTHER,30.36918913,-97.73206239,2022
BURGLARY OF RESIDENCE,30.22253274,-97.7423905,2022
IDENTITY THEFT,30.33786402,-97.68098138,2022
THEFT,30.18124603,-97.8216606,2022
CRIMINAL MISCHIEF,30.35870893,-97.70958308,2022
ROBBERY BY THREAT,30.1683339,-97.78259876,2022
AUTO THEFT,30.22341224,-97.69400568,2022
GRAFFITI,30.24324028,-97.72154885,2022
THEFT OF METAL,30.28780757,-97.74503397,2022
CRIMINAL MISCHIEF-NO SUSPECT,30.23240044,-97.73273139,2022
THEFT FROM AUTO,30.40795902,-97.66724547,2022
AUTO THEFT,30.39566744,-97.67214463,2022
AUTO THEFT,30.24391457,-97.72737827,2022
AUTO THEFT,30.43063656,-97.6910763,2022
HARASSMENT,30.26673029,-97.78544247,2022
CRIMINAL MISCHIEF-NO SUSPECT,30.22146491,-97.72690401,2022
BURGLARY OF VEHICLE,30.34799828,-97.71479606,2022
FAMILY DISTURBANCE,30.41970871,-97.72519933,2022
THEFT OF BICYCLE,30.35833675,-97.75305537,2022
FAMILY DISTURBANCE,30.42926059,-97.66524703,2022
ASSAULT BY CONTACT,30.36045362,-97.71663043,2022
AUTO THEFT,30.24913074,-97.78224796,2022
ASSAULT BY CONTACT,30.37317697,-97.73001991,2022
FAMILY DISTURBANCE,30.40057166,-97.65286696,2022
AUTO THEFT,30.43379835,-97.66866996,2022
BURGLARY OF VEHICLE,30.40392382,-97.7091204,2022
CRIMINAL MISCHIEF,30.31849988,-97.68956602,2022
THEFT BY SHOPLIFTING,30.47734224,-97.80298245,2022
FAMILY DISTURBANCE,30.43791086,-97.74027892,2022
BURGLARY OF VEHICLE,30.25423123,-97.77335673,2022
BURGLARY OF VEHICLE,30.23351732,-97.87450672,2022
THEFT CATALYTIC CONVERTER,30.28905112,-97.71890211,2022
THEFT CATALYTIC CONVERTER,30.38480118,-97.64920025,2022
BURGLARY OF VEH-NO SUSPECT/FU,30.25349256,-97.74794018,2022
DEADLY CONDUCT,30.41092991,-97.70177719,2022
THEFT CATALYTIC CONVERTER,30.20440638,-97.71889718,2022
ASSAULT WITH INJURY,30.36917195,-97.71701874,2022
THEFT,30.3522535,-97.69281751,2022
FORGERY AND PASSING,30.36974612,-97.80043239,2022
VIOL OF EMERG PROTECTIVE ORDER,30.18465856,-97.76397732,2022
BURGLARY NON RESIDENCE,30.29174611,-97.71417021,2022
CRIMINAL MISCHIEF-NO SUSPECT,30.30720963,-97.63009487,2022
THEFT OF LICENSE PLATE,30.2271802,-97.70590961,2022
TERRORISTIC THREAT-FAM/DAT VIO,30.22249994,-97.70447557,2022
ASSAULT WITH INJURY,30.36926216,-97.69510501,2022
ASSAULT BY CONTACT,30.30698583,-97.73552369,2022
ROBBERY BY ASSAULT,30.36007364,-97.61959628,2022
THEFT OF TRAILER,30.15234283,-97.73904384,2022
CRIMINAL TRESPASS/IN VEHICLE,30.2679761,-97.73761583,2022
THEFT CATALYTIC CONVERTER,30.21833487,-97.66215838,2022
CRED CARD ABUSE - OTHER,30.32541204,-97.80871052,2022
BURGLARY OF VEHICLE,30.25571158,-97.7625396,2022
AGG ROBBERY/DEADLY WEAPON,30.26678154,-97.73824996,2022
HARASSMENT,30.18156957,-97.82020866,2022
EVADING / FOOT,30.267699,-97.73792112,2022
