Highest Offense Description,Latitude,Longitude,year
ASSAULT WITH INJURY,30.23964224,-97.72786734,2024
FAMILY DISTURBANCE,30.17026772,-97.80173567,2024
FAMILY DISTURBANCE,30.20109332,-97.75025436,2024
CRIMINAL MISCHIEF,30.35495325,-97.6193788,2024
AGG ASSAULT,30.3962885,-97.70051429,2024
AGG ASSAULT,30.35987809,-97.68790533,2024
ASSAULT W/INJURY-FAM/DATE VIOL,,,2024
IMPROPER CONTACT-SEX ASLT VICT,,,2024
FAMILY DISTURBANCE,,,2024
POSS CONTROLLED SUB/NARCOTIC,30.22245821,-97.70968333,2024
AUTO THEFT,30.25595216,-97.76068619,2024
CRIMINAL TRESPASS,30.39665922,-97.66375058,2024
AGG ROBBERY/DEADLY WEAPON,30.37310385,-97.71440302,2024
AGG ASSAULT,30.41358272,-97.67568972,2024
HARASSMENT,30.42608552,-97.69553005,2024
FAMILY DISTURBANCE,30.41217493,-97.69905225,2024
ASSAULT WITH INJURY,30.26733296,-97.73899558,2024
THEFT,30.26665421,-97.73508807,2024
ASSAULT ON PUBLIC SERVANT,30.21736858,-97.767848,2024
FAMILY DISTURBANCE/PARENTAL,30.17526258,-97.79494789,2024
VIOL STATE LAW - OTHER,30.23781689,-97.7414673,2024
FAMILY DISTURBANCE,30.30588873,-97.68207575,2024
DWI,30.34046299,-97.7090456,2024
EVADING / FOOT,30.23175215,-97.772768,2024
VIOL OF BOND CONDITIONS,30.42969602,-97.75737519,2024
CRIMINAL MISCHIEF,30.39171762,-97.70669879,2024
ROBBERY BY ASSAULT,30.19423808,-97.74432707,2024
FAMILY DISTURBANCE,30.1870381,-97.78036378,2024
FAMILY DISTURBANCE,30.3932165,-97.82629424,2024
BURGLARY OF VEHICLE,30.34789821,-97.79767957,2024
BURGLARY OF RESIDENCE,30.24334282,-97.75239012,2024
THEFT OF LICENSE PLATE,30.43898321,-97.75966943,2024
CRIMINAL MISCHIEF,30.28779517,-97.72529351,2024
CHILD CUSTODY INTERFERE,30.30039276,-97.63603557,2024
DISTURBANCE - OTHER,30.26052362,-97.71374355,2024
AIRPORT PLACES WEAPON PROHIBIT,30.20200809,-97.6668813,2024
AGG ASSAULT FAM/DATE VIOLENCE,30.36917279,-97.80245837,2024
AUTO THEFT,30.40678846,-97.75532508,2024
FAMILY DISTURBANCE,30.14481967,-97.80300022,2024
DISTURBANCE - OTHER,30.22350129,-97.72533837,2024
BURGLARY OF RESIDENCE,30.14754539,-97.8088592,2024
ASSAULT BY CONTACT,30.26052362,-97.71374355,2024
VIOL STATE LAW - OTHER,30.22416622,-97.70124094,2024
FAMILY DISTURBANCE,30.17368492,-97.8063974,2024
EVADING VEHICLE,30.31071784,-97.69457853,2024
CRIMINAL MISCHIEF,30.37324763,-97.72429257,2024
ASSAULT BY CONTACT,30.26083607,-97.71127013,2024
EVADING / VEHICLE PURSUIT,30.3985376,-97.74836248,2024
AUTO THEFT,30.22823527,-97.7329449,2024
ASSAULT WITH INJURY,30.20137156,-97.86004135,2024
FAMILY DISTURBANCE,30.34478541,-97.69558416,2024
ASSAULT W/INJURY-FAM/DATE VIOL,30.26830599,-97.7434529,2024
GRAFFITI,30.15402386,-97.74491371,2024
PROWLER,30.22813316,-97.73116767,2024
CRASH/FAIL STOP AND RENDER AID,30.32575872,-97.67270953,2024
DWI  .15 BAC OR ABOVE,30.35854771,-97.68861101,2024
ASSAULT BY THREAT,30.36917195,-97.71701874,2024
CRIMINAL TRESPASS,30.2302718,-97.70685804,2024
ASSAULT ON PEACE OFFICER,30.35390901,-97.75348143,2024
THEFT,30.29020828,-97.74828779,2024
ASSAULT WITH INJURY,30.1996283,-97.73520938,2024
POSS OF DRUG PARAPHERNALIA,30.4257369,-97.75443108,2024
DWI,30.37685798,-97.67336157,2024
FAMILY DISTURBANCE,30.22350129,-97.72533837,2024
AGG ASSAULT,30.30443968,-97.69890257,2024
ASSAULT WITH INJURY,30.24075834,-97.76886427,2024
POSS OF DRUG PARAPHERNALIA,30.22566431,-97.77008533,2024
FAMILY DISTURBANCE,30.31141944,-97.70543553,2024
FAMILY DISTURBANCE,30.40514245,-97.64220521,2024
POSSESSION OF MARIJUANA,30.22928609,-97.71204117,2024
POSSESSION OF MARIJUANA,30.37712356,-97.67648833,2024
RAPE,,,2024
AUTO THEFT,30.22863461,-97.70615193,2024
ROBBERY BY THREAT,30.37767283,-97.67698074,2024
VIOL OF PROTECTIVE ORDER,30.39665922,-97.66375058,2024
AUTO THEFT,30.28674653,-97.70734324,2024
DISTURBANCE - OTHER,30.29869919,-97.7633628,2024
POSS OF FIREARM BY FELON,,,2024
CRASH/FAIL STOP AND RENDER AID,,,2024
THEFT,30.26438581,-97.74340598,2024
FAMILY DISTURBANCE,30.47742506,-97.79366373,2024
